iter	Logloss
0	0.6900209904
1	0.6884730339
2	0.6873420238
3	0.6853860855
4	0.6833769321
5	0.6815143585
6	0.6792388916
7	0.6769336224
8	0.6744432449
9	0.6725636005
10	0.6702835083
11	0.6676197052
12	0.6653512955
13	0.6621456146
14	0.6609665394
15	0.65887537
16	0.6572008133
17	0.6558475971
18	0.6551363945
19	0.6529462814
20	0.6513738632
21	0.6487807274
22	0.6478052139
23	0.6460221291
24	0.6440358162
25	0.6427887917
26	0.6407375813
27	0.6397758484
28	0.6382243633
29	0.6354542732
30	0.6343669891
31	0.6321647167
32	0.6305371284
33	0.6283047676
34	0.6267373562
35	0.6250749588
36	0.6230716228
37	0.6200655937
38	0.6193528175
39	0.6184166908
40	0.6176019669
41	0.6149924278
42	0.6136818886
43	0.6124491692
44	0.6106446266
45	0.6092580795
46	0.6081604004
47	0.6075763702
48	0.6070384026
49	0.6063591003
50	0.6053013802
51	0.6031112671
52	0.6025998592
53	0.6014213562
54	0.6006738663
55	0.5997383118
56	0.5990944862
57	0.5976000309
58	0.5960147381
59	0.5948872089
60	0.5932738304
61	0.5925940037
62	0.5903178215
63	0.588262558
64	0.5870713234
65	0.5860831261
66	0.5853168011
67	0.5846553802
68	0.5834148407
69	0.5822610855
70	0.5812228203
71	0.5793881416
72	0.5777523994
73	0.5757153988
74	0.574881649
75	0.5743406296
76	0.5735335827
77	0.5726012707
78	0.5716453075
79	0.5697404861
80	0.5686879158
81	0.5678910255
82	0.5668013096
83	0.5659305573
84	0.5648030281
85	0.5636718273
86	0.5627929687
87	0.5622327328
88	0.5613184929
89	0.5599202633
90	0.5576907158
91	0.5558036327
92	0.5544550419
93	0.553867054
94	0.5519652367
95	0.5501440048
96	0.5480378151
97	0.5463521004
98	0.5453000069
99	0.5449085236
