iter	Passed	Remaining
0	2	247
1	3	178
2	4	146
3	5	135
4	6	126
5	7	116
6	8	109
7	9	110
8	10	105
9	11	101
10	12	99
11	13	96
12	14	93
13	14	91
14	15	88
15	16	88
16	17	87
17	18	85
18	19	83
19	20	81
20	21	79
21	21	77
22	23	77
23	24	76
24	25	75
25	26	74
26	26	72
27	27	71
28	28	70
29	29	68
30	30	67
31	31	66
32	32	64
33	32	63
34	33	63
35	34	62
36	35	60
37	36	59
38	36	57
39	38	57
40	39	56
41	40	55
42	41	54
43	41	53
44	43	53
45	44	52
46	46	52
47	47	50
48	47	49
49	48	48
50	49	47
51	49	46
52	50	45
53	51	44
54	53	43
55	54	42
56	54	41
57	56	40
58	57	39
59	58	39
60	59	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	69	31
69	70	30
70	71	29
71	72	28
72	72	26
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	80	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	90	12
88	91	11
89	92	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
