iter	Passed	Remaining
0	11	1169
1	16	827
2	21	711
3	27	653
4	32	625
5	38	603
6	45	601
7	50	583
8	56	568
9	61	556
10	67	545
11	73	536
12	78	526
13	83	514
14	89	506
15	96	505
16	101	495
17	106	484
18	111	476
19	116	467
20	122	459
21	127	452
22	133	446
23	138	438
24	144	433
25	150	428
26	156	421
27	161	415
28	167	409
29	172	403
30	178	396
31	183	390
32	189	384
33	195	378
34	200	372
35	206	366
36	213	362
37	220	359
38	226	354
39	232	349
40	239	345
41	245	339
42	251	333
43	257	328
44	264	323
45	270	318
46	277	312
47	283	307
48	290	301
49	295	295
50	301	289
51	307	284
52	313	278
53	320	272
54	326	267
55	332	261
56	338	255
57	344	249
58	351	243
59	358	238
60	364	233
61	371	227
62	377	221
63	383	215
64	390	210
65	396	204
66	402	198
67	408	192
68	414	186
69	420	180
70	426	174
71	433	168
72	440	162
73	447	157
74	453	151
75	459	144
76	465	138
77	471	132
78	477	126
79	482	120
80	488	114
81	495	108
82	501	102
83	507	96
84	513	90
85	519	84
86	525	78
87	532	72
88	538	66
89	544	60
90	550	54
91	556	48
92	562	42
93	568	36
94	573	30
95	579	24
96	585	18
97	591	12
98	597	6
99	603	0
