iter	RMSE
0	4.527621049
1	4.386902621
2	4.326412139
3	4.270180049
4	4.182719142
5	4.064609911
6	3.947181156
7	3.839723243
8	3.775021787
9	3.731141063
10	3.674206262
11	3.614991484
12	3.549478042
13	3.500267205
14	3.445721978
15	3.351154668
16	3.269683786
17	3.19629332
18	3.171984037
19	3.144435396
20	3.125071427
21	3.11734227
22	3.070605426
23	3.024441275
24	2.996449123
25	2.96235126
26	2.914620317
27	2.838616784
28	2.819605335
29	2.75931794
30	2.737817478
31	2.704698777
32	2.692890459
33	2.661587847
34	2.647761227
35	2.611059115
36	2.576462994
37	2.532354782
38	2.515412137
39	2.503862563
40	2.48986417
41	2.480599521
42	2.417188556
43	2.408154319
44	2.340364782
45	2.303352745
46	2.29552227
47	2.26018049
48	2.25301587
49	2.225062918
50	2.219106588
51	2.16788995
52	2.139416958
53	2.133994958
54	2.108168556
55	2.069441712
56	2.013147175
57	1.99027675
58	1.947473304
59	1.926052138
60	1.906361746
61	1.8561008
62	1.837736444
63	1.82062022
64	1.788950474
65	1.740914997
66	1.725518
67	1.698264137
68	1.674019936
69	1.648707706
70	1.611423025
71	1.576392735
72	1.560131433
73	1.5451732
74	1.513015074
75	1.474786965
76	1.4365811
77	1.402172706
78	1.372620369
79	1.346969756
80	1.320834097
81	1.300336292
82	1.292722942
83	1.272208736
84	1.265227699
85	1.258847208
86	1.235415922
87	1.224175539
88	1.218574884
89	1.199102352
90	1.166052575
91	1.162173258
92	1.155307382
93	1.139336312
94	1.117044511
95	1.096978075
96	1.060738513
97	1.035456194
98	1.032037039
99	1.02896866
