iter	Passed	Remaining
0	2	290
1	5	249
2	8	264
3	10	243
4	13	248
5	14	234
6	16	221
7	19	219
8	21	215
9	23	207
10	26	216
11	29	218
12	31	211
13	34	212
14	36	206
15	38	199
16	40	197
17	43	197
18	45	193
19	48	192
20	50	188
21	50	180
22	52	176
23	56	179
24	59	178
25	62	177
26	65	176
27	68	177
28	71	175
29	73	172
30	74	166
31	76	162
32	77	158
33	80	156
34	84	156
35	86	154
36	88	151
37	91	149
38	95	148
39	96	145
40	98	141
41	101	139
42	103	137
43	106	135
44	110	135
45	113	133
46	115	130
47	117	127
48	119	124
49	123	123
50	125	120
51	129	119
52	131	116
53	134	114
54	137	112
55	139	109
56	141	107
57	144	104
58	146	101
59	148	98
60	150	96
61	152	93
62	154	90
63	156	88
64	159	85
65	161	83
66	163	80
67	167	78
68	169	76
69	172	73
70	175	71
71	177	69
72	180	66
73	182	64
74	184	61
75	186	58
76	189	56
77	191	53
78	193	51
79	195	48
80	197	46
81	199	43
82	201	41
83	204	38
84	206	36
85	208	33
86	210	31
87	212	28
88	214	26
89	216	24
90	218	21
91	221	19
92	224	16
93	227	14
94	229	12
95	233	9
96	235	7
97	238	4
98	241	2
99	243	0
